Rank,Artist,Title,Streams
122,Daddy Yankee,La Rompe Corazones,"595,149"
123,Sebastian Yatra,Traicionera,"592,406"
124,Beyoncé,Halo,"590,448"
125,Lukas Graham,7 Years,"588,454"
126,San Holo,Light,"587,430"
127,Maroon 5,Cold,"585,547"
128,DVBBS,Not Going Home,"584,804"
129,Adele,Send My Love (To Your New Lover),"582,017"
130,Rag'n'Bone Man,Skin,"581,068"
131,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","574,227"
132,Sia,"Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","572,901"
133,Drake,Sneakin’,"568,661"
134,Sam Smith,Stay With Me,"568,074"
135,Nick Jonas,"Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","567,510"
136,Andy Grammer,Fresh Eyes,"566,861"
137,Charly Black,Gyal You A Party Animal - Remix,"565,135"
138,Joakim Lundell,All I Need,"564,217"
139,21 Savage,No Heart,"561,595"
140,Chance the Rapper,Same Drugs,"557,517"
141,Rihanna,Work,"556,111"
142,John Legend,All of Me,"551,654"
143,Nevada,The Mack,"550,162"
144,Drake,Controlla,"549,782"
145,XXXTENTACION,Look at Me!,"544,711"
146,Little Mix,Shout Out to My Ex,"542,685"
147,FRENSHIP,Capsize,"538,846"
148,Rihanna,Needed Me,"538,027"
149,Rob $tone,Chill Bill,"530,554"
150,Don Omar,Te Quiero Pa´Mi,"528,218"
151,Niall Horan,This Town,"521,642"
152,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,"520,456"
153,Hozier,Take Me To Church,"517,346"
154,Gucci Mane,Both (feat. Drake),"514,926"
155,Chino & Nacho,Andas En Mi Cabeza,"509,738"
156,Passenger,Let Her Go,"508,299"
157,The Chainsmokers,Setting Fires,"504,099"
158,Ariana Grande,Into You,"501,096"
159,James Bay,Let It Go,"501,060"
160,DNCE,Cake By The Ocean,"491,604"
161,Khalid,Location,"489,762"
162,Daddy Yankee,Shaky Shaky,"487,098"
163,Galantis,Love on Me,"485,464"
164,Mura Masa,Love$ick,"483,462"
165,Axwell /\ Ingrosso,I Love You,"483,404"
166,Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),"482,099"
167,Migos,Slippery (feat. Gucci Mane),"480,279"
168,Young Thug,pick up the phone,"478,504"
169,Major Lazer,Lean On (feat. MØ & DJ Snake),"472,960"
170,The Weeknd,Six Feet Under,"471,299"
171,ZAYN,PILLOWTALK,"470,715"
172,Mike Perry,The Ocean (feat. Shy Martin),"469,751"
173,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack","469,421"
174,MØ,Final Song,"466,070"
175,Marian Hill,Down,"465,451"
176,Farruko,Chillax (feat. Ky-Mani Marley),"461,900"
177,Thomas Gold,Magic,"461,264"
178,Migos,Kelly Price (feat. Travis Scott),"460,933"
179,Calum Scott,Dancing On My Own,"458,434"
180,Chance the Rapper,Juke Jam (feat. Justin Bieber & Towkio),"457,621"
181,Coldplay,Hymn for the Weekend - Seeb Remix,"453,770"
182,DJ Khaled,Shining (feat. Beyoncé & Jay-Z),"453,391"
183,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,"451,685"
184,Sabrina Carpenter,Thumbs,"450,860"
185,Desiigner,Outlet,"449,298"
186,Zara Larsson,So Good (feat. Ty Dolla $ign),"447,142"
187,Adele,Make You Feel My Love,"446,139"
188,Christina Perri,A Thousand Years,"445,947"
189,Adele,When We Were Young,"445,505"
190,Post Malone,White Iverson,"443,164"
191,Oasis,Wonderwall - Remastered,"442,941"
192,Enrique Iglesias,DUELE EL CORAZON,"442,758"
193,Flume,Never Be Like You,"441,799"
194,Shawn Mendes,Stitches,"440,486"
195,Future,Low Life,"439,541"
196,DJ Snake,Middle,"438,932"
197,Eminem,'Till I Collapse,"434,436"
198,The Weeknd,The Hills,"433,371"
199,Jonas Blue,Fast Car,"432,978"
200,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""","432,763"
