Rank,Artist,Title,Streams,Date
160,KREAM,Taped up Heart (feat. Clara Mae),"399,525",2017-01-09
161,The Weeknd,Reminder,"398,814",2017-01-09
162,Drake,Hotline Bling,"398,149",2017-01-09
163,Maluma,Cuatro Babys,"391,872",2017-01-09
164,The Weeknd,The Hills,"391,780",2017-01-09
165,Drake,Jumpman,"390,830",2017-01-09
166,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack","389,047",2017-01-09
167,Flo Rida,Cake - Challenge Version,"386,567",2017-01-09
168,J. Cole,No Role Modelz,"383,540",2017-01-09
169,Dante Klein,Let Me Hold You (Turn Me On),"383,183",2017-01-09
170,Galantis,No Money,"382,785",2017-01-09
171,MiC LOWRY,Oh Lord,"382,755",2017-01-09
172,Flume,Never Be Like You,"381,304",2017-01-09
173,Future,Low Life,"377,661",2017-01-09
174,Lady Gaga,Million Reasons,"376,061",2017-01-09
175,Joel Adams,Please Don't Go,"375,778",2017-01-09
176,Charly Black,Gyal You A Party Animal - Remix,"373,498",2017-01-09
177,Marc E. Bassy,You & Me,"371,194",2017-01-09
178,The Weeknd,Die For You,"370,131",2017-01-09
179,Mura Masa,Love$ick,"369,221",2017-01-09
180,Future,Used to This,"369,205",2017-01-09
181,Kiiara,Gold,"368,999",2017-01-09
182,Milky Chance,Cocoon,"364,387",2017-01-09
183,The Weeknd,Rockin’,"362,950",2017-01-09
184,Rudimental,Lay It All on Me (feat. Ed Sheeran),"362,819",2017-01-09
185,Passenger,Let Her Go,"359,846",2017-01-09
186,Ed Sheeran,Kiss Me,"350,858",2017-01-09
187,J. Cole,Immortal,"350,628",2017-01-09
188,John Legend,All of Me,"350,205",2017-01-09
189,Tove Lo,Cool Girl,"349,476",2017-01-09
190,Sam Smith,Stay With Me,"348,344",2017-01-09
191,Travis Scott,goosebumps,"346,577",2017-01-09
192,Coldplay,Hymn for the Weekend,"346,401",2017-01-09
193,The Weeknd,Can't Feel My Face,"344,305",2017-01-09
194,Post Malone,White Iverson,"342,009",2017-01-09
195,Eminem,'Till I Collapse,"340,092",2017-01-09
196,Farruko,Chillax (feat. Ky-Mani Marley),"338,789",2017-01-09
197,Adele,When We Were Young,"338,674",2017-01-09
198,Flume,Say It (feat. Tove Lo),"336,764",2017-01-09
199,The Weeknd,True Colors,"336,364",2017-01-09
200,Big Sean,Moves,"335,714",2017-01-09
Rank,Artist,Title,Streams,Date
1,Ed Sheeran,Shape of You,"7,261,007",2017-01-10
2,Ed Sheeran,Castle on the Hill,"4,840,898",2017-01-10
3,The Weeknd,Starboy,"3,364,512",2017-01-10
4,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"3,046,633",2017-01-10
5,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","3,042,565",2017-01-10
6,The Chainsmokers,Closer,"2,829,337",2017-01-10
7,James Arthur,Say You Won't Let Go,"2,568,220",2017-01-10
8,Maroon 5,Don't Wanna Know,"2,489,412",2017-01-10
9,The Weeknd,I Feel It Coming,"2,432,378",2017-01-10
10,Drake,Fake Love,"2,420,381",2017-01-10
11,DJ Snake,Let Me Love You,"2,285,129",2017-01-10
12,Migos,Bad and Boujee (feat. Lil Uzi Vert),"2,189,210",2017-01-10
13,Bruno Mars,24K Magic,"2,173,519",2017-01-10
14,Starley,Call On Me - Ryan Riback Extended Remix,"2,107,060",2017-01-10
15,Shakira,Chantaje (feat. Maluma),"1,991,796",2017-01-10
16,Rae Sremmurd,Black Beatles,"1,979,892",2017-01-10
17,Steve Aoki,Just Hold On,"1,942,906",2017-01-10
18,Machine Gun Kelly,Bad Things (with Camila Cabello),"1,879,294",2017-01-10
19,Ariana Grande,Side To Side,"1,744,111",2017-01-10
20,Drake,One Dance,"1,742,848",2017-01-10
21,Major Lazer,Cold Water (feat. Justin Bieber & MØ),"1,737,463",2017-01-10
22,Martin Garrix,In the Name of Love,"1,722,088",2017-01-10
23,Shawn Mendes,Mercy,"1,613,336",2017-01-10
24,The Chainsmokers,All We Know,"1,551,360",2017-01-10
25,Hailee Steinfeld,Starving,"1,467,605",2017-01-10
26,Calvin Harris,My Way,"1,419,495",2017-01-10
27,The Vamps,All Night,"1,404,529",2017-01-10
28,Alessia Cara,Scars To Your Beautiful,"1,363,849",2017-01-10
29,Zara Larsson,I Would Like,"1,362,547",2017-01-10
30,Robin Schulz,Shed a Light,"1,362,252",2017-01-10
31,Twenty One Pilots,Heathens,"1,358,268",2017-01-10
32,Sage The Gemini,Now and Later,"1,340,359",2017-01-10
33,John Legend,Love Me Now,"1,327,941",2017-01-10
34,Alok,Hear Me Now,"1,321,868",2017-01-10
35,Alessia Cara,"How Far I'll Go - From ""Moana""","1,320,688",2017-01-10
36,Jonas Blue,By Your Side,"1,296,000",2017-01-10
37,Shawn Mendes,Treat You Better,"1,294,909",2017-01-10
38,The Chainsmokers,Don't Let Me Down,"1,239,368",2017-01-10
39,CNCO,Reggaetón Lento (Bailemos),"1,202,414",2017-01-10
40,Ed Sheeran,Photograph,"1,199,848",2017-01-10
41,Alan Walker,Alone,"1,180,221",2017-01-10
42,Nevada,The Mack,"1,146,542",2017-01-10
43,Aminé,Caroline,"1,113,473",2017-01-10
44,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),"1,089,013",2017-01-10
45,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","1,071,048",2017-01-10
46,Sia,The Greatest,"1,038,433",2017-01-10
47,Sia,Cheap Thrills,"1,017,053",2017-01-10
48,DRAM,Broccoli (feat. Lil Yachty),"1,001,889",2017-01-10
49,Big Sean,Bounce Back,"998,112",2017-01-10
50,J Balvin,Safari,"996,211",2017-01-10
51,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"973,975",2017-01-10
52,Martin Jensen,Solo Dance,"958,013",2017-01-10
53,Rag'n'Bone Man,Human,"903,297",2017-01-10
54,Ed Sheeran,Thinking out Loud,"891,077",2017-01-10
55,Jon Bellion,All Time Low,"869,066",2017-01-10
56,Adele,Water Under the Bridge,"857,340",2017-01-10
57,The Weeknd,Party Monster,"856,280",2017-01-10
58,Noah Cyrus,Make Me (Cry),"855,499",2017-01-10
59,Ricky Martin,Vente Pa' Ca,"837,593",2017-01-10
60,NEIKED,Sexual,"835,865",2017-01-10
61,J. Cole,Deja Vu,"830,417",2017-01-10
62,Zion & Lennox,Otra vez (feat. J Balvin),"829,736",2017-01-10
63,Calvin Harris,This Is What You Came For,"810,954",2017-01-10
64,Luke Christopher,Lot to Learn,"789,420",2017-01-10
65,Petit Biscuit,Sunset Lover,"781,693",2017-01-10
66,Jonas Blue,Perfect Strangers,"760,435",2017-01-10
67,Twenty One Pilots,Ride,"755,474",2017-01-10
68,gnash,"i hate u, i love u (feat. olivia o'brien)","735,787",2017-01-10
69,Drake,Too Good,"735,743",2017-01-10
70,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),"721,913",2017-01-10
71,The Chainsmokers,Setting Fires,"721,188",2017-01-10
72,Twenty One Pilots,Stressed Out,"710,069",2017-01-10
73,Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),"704,139",2017-01-10
74,Alan Walker,Faded,"700,482",2017-01-10
75,Bebe Rexha,I Got You,"693,482",2017-01-10
76,Rob $tone,Chill Bill,"688,878",2017-01-10
77,Desiigner,Panda,"681,600",2017-01-10
78,Justin Bieber,Love Yourself,"681,464",2017-01-10
79,Bruno Mars,Versace on the Floor,"676,190",2017-01-10
80,21 Savage,X (feat. Future),"673,705",2017-01-10
81,KYLE,iSpy (feat. Lil Yachty),"668,040",2017-01-10
82,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","667,302",2017-01-10
83,Childish Gambino,Redbone,"654,255",2017-01-10
84,Rihanna,Work,"653,939",2017-01-10
85,Justin Bieber,Sorry,"647,858",2017-01-10
86,Little Mix,Shout Out to My Ex,"647,382",2017-01-10
87,Ed Sheeran,The A Team,"643,258",2017-01-10
88,Mike Perry,The Ocean (feat. Shy Martin),"642,775",2017-01-10
89,Hearts & Colors,Lighthouse - Andrelli Remix,"640,000",2017-01-10
90,Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),"638,704",2017-01-10
91,Drake,Sneakin’,"635,031",2017-01-10
92,Drake,Controlla,"634,444",2017-01-10
93,21 Savage,No Heart,"631,329",2017-01-10
94,Sebastian Yatra,Traicionera,"629,883",2017-01-10
95,Coldplay,Hymn for the Weekend - Seeb Remix,"629,381",2017-01-10
96,The Weeknd,Sidewalks,"625,342",2017-01-10
97,AJR,Weak,"618,041",2017-01-10
98,Snakehips,Don't Leave,"617,280",2017-01-10
99,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,"609,316",2017-01-10
100,Andy Grammer,Fresh Eyes,"603,425",2017-01-10
101,Rihanna,Needed Me,"602,461",2017-01-10
102,Carlos Vives,La Bicicleta,"599,097",2017-01-10
103,FRENSHIP,Capsize,"595,894",2017-01-10
104,The Weeknd,Six Feet Under,"586,923",2017-01-10
105,Niall Horan,This Town,"578,938",2017-01-10
106,Lukas Graham,7 Years,"573,153",2017-01-10
107,DNCE,Cake By The Ocean,"566,763",2017-01-10
108,Calum Scott,Dancing On My Own,"553,813",2017-01-10
109,Ozuna,Dile Que Tu Me Quieres,"548,326",2017-01-10
110,DJ Snake,Middle,"547,271",2017-01-10
111,G-Eazy,Some Kind Of Drug,"542,577",2017-01-10
112,Nause,Dynamite (feat. Pretty Sister),"542,188",2017-01-10
113,IAmChino,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","541,472",2017-01-10
114,Sean Paul,No Lie,"538,296",2017-01-10
115,Ariana Grande,Into You,"537,024",2017-01-10
116,Adele,Send My Love (To Your New Lover),"533,443",2017-01-10
117,Jonas Blue,Fast Car,"530,873",2017-01-10
118,Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""","529,781",2017-01-10
119,Rihanna,Love On The Brain,"529,630",2017-01-10
120,Zay Hilfigerrr,Juju On That Beat (TZ Anthem),"526,921",2017-01-10
121,Lil Uzi Vert,You Was Right,"523,333",2017-01-10
122,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,"521,707",2017-01-10
123,MC G15,Deu Onda,"514,024",2017-01-10
124,Daddy Yankee,Shaky Shaky,"513,747",2017-01-10
125,Little Mix,Touch,"511,444",2017-01-10
126,Galantis,Love on Me,"510,685",2017-01-10
127,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),"508,866",2017-01-10
128,Isaiah,It's Gotta Be You,"504,936",2017-01-10
129,Young Thug,pick up the phone,"503,368",2017-01-10
130,Sia,The Greatest,"502,662",2017-01-10
131,MØ,Final Song,"500,340",2017-01-10
132,Piso 21,Me Llamas (feat. Maluma) - Remix,"497,577",2017-01-10
133,Major Lazer,Lean On (feat. MØ & DJ Snake),"497,258",2017-01-10
134,DVBBS,Not Going Home,"495,269",2017-01-10
135,Rae Sremmurd,Swang,"494,940",2017-01-10
136,JP Cooper,September Song,"494,437",2017-01-10
137,J. Cole,Neighbors,"490,507",2017-01-10
138,G-Eazy,"Me, Myself & I","483,727",2017-01-10
139,Enrique Iglesias,DUELE EL CORAZON,"481,061",2017-01-10
140,San Holo,Light,"480,507",2017-01-10
141,Wisin,Vacaciones,"471,783",2017-01-10
142,Zara Larsson,Lush Life,"471,651",2017-01-10
143,Ed Sheeran,Don't,"466,962",2017-01-10
144,Adele,Hello,"466,831",2017-01-10
145,James Hersey,Miss You,"464,519",2017-01-10
146,James Bay,Let It Go,"458,884",2017-01-10
147,Young M.A,OOOUUU,"458,025",2017-01-10
148,Bruno Mars,That's What I Like,"458,015",2017-01-10
149,Ed Sheeran,Tenerife Sea,"457,920",2017-01-10
150,Shawn Mendes,Stitches,"457,505",2017-01-10
151,KREAM,Taped up Heart (feat. Clara Mae),"453,005",2017-01-10
152,The Chainsmokers,Roses,"452,555",2017-01-10
153,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack","451,300",2017-01-10
154,Ed Sheeran,Give Me Love,"451,071",2017-01-10
155,Cheat Codes,Sex,"450,964",2017-01-10
156,The Weeknd,Reminder,"450,106",2017-01-10
157,MiC LOWRY,Oh Lord,"440,228",2017-01-10
158,Chino & Nacho,Andas En Mi Cabeza,"437,736",2017-01-10
159,State of Sound,Wake Up Where You Are,"436,235",2017-01-10
160,Flo Rida,Cake - Challenge Version,"431,050",2017-01-10
161,Zara Larsson,Ain't My Fault,"429,862",2017-01-10
162,The Weeknd,Rockin’,"428,440",2017-01-10
163,Maluma,Borro Cassette,"427,439",2017-01-10
164,Lady Gaga,Million Reasons,"426,504",2017-01-10
165,ZAYN,PILLOWTALK,"426,022",2017-01-10
166,The Weeknd,Die For You,"419,851",2017-01-10
167,Justin Bieber,What Do You Mean?,"419,764",2017-01-10
168,The Weeknd,The Hills,"419,605",2017-01-10
169,J. Cole,Immortal,"415,773",2017-01-10
170,Mura Masa,Love$ick,"414,728",2017-01-10
171,Dante Klein,Let Me Hold You (Turn Me On),"414,538",2017-01-10
172,Drake,Hotline Bling,"407,642",2017-01-10
173,Maluma,Cuatro Babys,"404,250",2017-01-10
174,Drake,Jumpman,"404,246",2017-01-10
175,J. Cole,No Role Modelz,"404,075",2017-01-10
176,Future,Low Life,"403,884",2017-01-10
177,Flume,Never Be Like You,"403,233",2017-01-10
178,Jax Jones,You Don't Know Me - Radio Edit,"403,063",2017-01-10
179,Future,Used to This,"401,122",2017-01-10
180,Milky Chance,Cocoon,"398,502",2017-01-10
181,Marc E. Bassy,You & Me,"398,412",2017-01-10
182,Tove Lo,Cool Girl,"394,544",2017-01-10
183,Big Sean,Moves,"392,705",2017-01-10
184,Joel Adams,Please Don't Go,"392,169",2017-01-10
185,Travis Scott,goosebumps,"385,175",2017-01-10
186,Galantis,No Money,"384,970",2017-01-10
187,Passenger,Let Her Go,"384,422",2017-01-10
188,John Legend,All of Me,"380,841",2017-01-10
189,Chris Brown,Party,"379,817",2017-01-10
190,Eminem,'Till I Collapse,"379,782",2017-01-10
191,Charly Black,Gyal You A Party Animal - Remix,"379,061",2017-01-10
192,The Weeknd,Secrets,"376,198",2017-01-10
193,Kiiara,Gold,"374,280",2017-01-10
194,Post Malone,White Iverson,"373,667",2017-01-10
195,Sam Smith,Stay With Me,"373,111",2017-01-10
196,The Weeknd,True Colors,"372,282",2017-01-10
197,Kanye West,Stronger,"369,617",2017-01-10
198,Coldplay,The Scientist,"368,506",2017-01-10
199,Coldplay,Hymn for the Weekend,"368,152",2017-01-10
200,The Weeknd,Can't Feel My Face,"366,972",2017-01-10
Rank,Artist,Title,Streams,Date
1,Ed Sheeran,Shape of You,"7,145,757",2017-01-11
2,Ed Sheeran,Castle on the Hill,"4,608,104",2017-01-11
3,The Weeknd,Starboy,"3,424,457",2017-01-11
4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","3,157,514",2017-01-11
5,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"3,094,116",2017-01-11
6,The Chainsmokers,Closer,"2,880,750",2017-01-11
7,James Arthur,Say You Won't Let Go,"2,636,733",2017-01-11
8,Maroon 5,Don't Wanna Know,"2,559,976",2017-01-11
9,The Weeknd,I Feel It Coming,"2,512,007",2017-01-11
10,Drake,Fake Love,"2,462,919",2017-01-11
11,Migos,Bad and Boujee (feat. Lil Uzi Vert),"2,361,306",2017-01-11
12,DJ Snake,Let Me Love You,"2,321,582",2017-01-11
13,Bruno Mars,24K Magic,"2,204,722",2017-01-11
14,Starley,Call On Me - Ryan Riback Extended Remix,"2,148,416",2017-01-11
15,Shakira,Chantaje (feat. Maluma),"2,033,400",2017-01-11
16,Steve Aoki,Just Hold On,"2,025,561",2017-01-11
17,Rae Sremmurd,Black Beatles,"1,989,506",2017-01-11
18,Machine Gun Kelly,Bad Things (with Camila Cabello),"1,951,280",2017-01-11
19,Ariana Grande,Side To Side,"1,791,497",2017-01-11
20,Drake,One Dance,"1,771,930",2017-01-11
21,Major Lazer,Cold Water (feat. Justin Bieber & MØ),"1,768,821",2017-01-11
22,Martin Garrix,In the Name of Love,"1,739,773",2017-01-11
23,Shawn Mendes,Mercy,"1,661,121",2017-01-11
24,The Chainsmokers,All We Know,"1,571,707",2017-01-11
25,Hailee Steinfeld,Starving,"1,503,644",2017-01-11
26,The Vamps,All Night,"1,456,278",2017-01-11
27,Calvin Harris,My Way,"1,423,721",2017-01-11
28,Zara Larsson,I Would Like,"1,418,611",2017-01-11
29,Robin Schulz,Shed a Light,"1,411,099",2017-01-11
30,Alessia Cara,Scars To Your Beautiful,"1,404,044",2017-01-11
31,Alessia Cara,"How Far I'll Go - From ""Moana""","1,386,964",2017-01-11
32,Sage The Gemini,Now and Later,"1,380,826",2017-01-11
33,Twenty One Pilots,Heathens,"1,376,080",2017-01-11
34,John Legend,Love Me Now,"1,364,016",2017-01-11
35,Alok,Hear Me Now,"1,354,908",2017-01-11
36,Jonas Blue,By Your Side,"1,340,982",2017-01-11
37,Shawn Mendes,Treat You Better,"1,318,833",2017-01-11
38,The Chainsmokers,Don't Let Me Down,"1,247,233",2017-01-11
39,CNCO,Reggaetón Lento (Bailemos),"1,232,937",2017-01-11
40,Alan Walker,Alone,"1,180,254",2017-01-11
41,Ed Sheeran,Photograph,"1,158,157",2017-01-11
42,Aminé,Caroline,"1,154,976",2017-01-11
43,Big Sean,Bounce Back,"1,125,794",2017-01-11
44,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),"1,106,365",2017-01-11
45,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","1,095,775",2017-01-11
46,Nevada,The Mack,"1,067,215",2017-01-11
47,Sia,The Greatest,"1,052,629",2017-01-11
48,Sia,Cheap Thrills,"1,049,335",2017-01-11
49,DRAM,Broccoli (feat. Lil Yachty),"1,030,767",2017-01-11
50,J Balvin,Safari,"1,018,770",2017-01-11
51,Martin Jensen,Solo Dance,"996,217",2017-01-11
52,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"935,107",2017-01-11
53,Jon Bellion,All Time Low,"924,362",2017-01-11
54,Rag'n'Bone Man,Human,"908,103",2017-01-11
55,Adele,Water Under the Bridge,"890,198",2017-01-11
56,Noah Cyrus,Make Me (Cry),"878,936",2017-01-11
57,The Weeknd,Party Monster,"865,009",2017-01-11
58,Ed Sheeran,Thinking out Loud,"855,629",2017-01-11
59,NEIKED,Sexual,"852,477",2017-01-11
60,Ricky Martin,Vente Pa' Ca,"849,044",2017-01-11
61,J. Cole,Deja Vu,"842,006",2017-01-11
62,Zion & Lennox,Otra vez (feat. J Balvin),"840,300",2017-01-11
63,Calvin Harris,This Is What You Came For,"836,393",2017-01-11
64,Petit Biscuit,Sunset Lover,"817,050",2017-01-11
65,Luke Christopher,Lot to Learn,"812,396",2017-01-11
66,Twenty One Pilots,Ride,"774,474",2017-01-11
67,Drake,Too Good,"773,217",2017-01-11
68,Snakehips,Don't Leave,"771,848",2017-01-11
69,Jonas Blue,Perfect Strangers,"771,105",2017-01-11
70,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),"755,296",2017-01-11
71,gnash,"i hate u, i love u (feat. olivia o'brien)","751,067",2017-01-11
72,Twenty One Pilots,Stressed Out,"742,979",2017-01-11
73,The Chainsmokers,Setting Fires,"742,427",2017-01-11
74,Bebe Rexha,I Got You,"732,621",2017-01-11
75,Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),"718,944",2017-01-11
76,Rob $tone,Chill Bill,"715,349",2017-01-11
77,Alan Walker,Faded,"714,684",2017-01-11
78,Desiigner,Panda,"711,699",2017-01-11
79,KYLE,iSpy (feat. Lil Yachty),"711,037",2017-01-11
80,Justin Bieber,Love Yourself,"697,432",2017-01-11
81,21 Savage,X (feat. Future),"694,128",2017-01-11
82,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","682,445",2017-01-11
83,Rihanna,Work,"675,889",2017-01-11
84,Bruno Mars,Versace on the Floor,"675,466",2017-01-11
85,Hearts & Colors,Lighthouse - Andrelli Remix,"669,591",2017-01-11
86,Childish Gambino,Redbone,"669,220",2017-01-11
87,AJR,Weak,"662,111",2017-01-11
88,Coldplay,Hymn for the Weekend - Seeb Remix,"661,712",2017-01-11
89,Drake,Sneakin’,"661,225",2017-01-11
90,Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),"661,199",2017-01-11
91,Justin Bieber,Sorry,"657,167",2017-01-11
92,21 Savage,No Heart,"656,531",2017-01-11
93,Mike Perry,The Ocean (feat. Shy Martin),"654,159",2017-01-11
94,Little Mix,Shout Out to My Ex,"652,725",2017-01-11
95,Sebastian Yatra,Traicionera,"641,159",2017-01-11
96,Drake,Controlla,"637,607",2017-01-11
97,The Weeknd,Sidewalks,"632,018",2017-01-11
98,Rihanna,Needed Me,"629,182",2017-01-11
99,Andy Grammer,Fresh Eyes,"617,581",2017-01-11
100,FRENSHIP,Capsize,"612,297",2017-01-11
101,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,"601,079",2017-01-11
102,Carlos Vives,La Bicicleta,"600,758",2017-01-11
103,The Weeknd,Six Feet Under,"599,720",2017-01-11
104,Lukas Graham,7 Years,"591,834",2017-01-11
105,Niall Horan,This Town,"588,752",2017-01-11
106,Ariana Grande,Into You,"576,147",2017-01-11
107,G-Eazy,Some Kind Of Drug,"572,194",2017-01-11
108,DNCE,Cake By The Ocean,"570,952",2017-01-11
109,Nause,Dynamite (feat. Pretty Sister),"563,476",2017-01-11
110,Ozuna,Dile Que Tu Me Quieres,"560,356",2017-01-11
111,IAmChino,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","557,927",2017-01-11
112,Calum Scott,Dancing On My Own,"552,121",2017-01-11
113,Rihanna,Love On The Brain,"551,029",2017-01-11
114,Adele,Send My Love (To Your New Lover),"549,993",2017-01-11
115,DJ Snake,Middle,"547,179",2017-01-11
116,Sean Paul,No Lie,"546,252",2017-01-11
117,Lil Uzi Vert,You Was Right,"544,742",2017-01-11
118,DVBBS,Not Going Home,"531,854",2017-01-11
119,Isaiah,It's Gotta Be You,"528,392",2017-01-11
120,Zay Hilfigerrr,Juju On That Beat (TZ Anthem),"528,338",2017-01-11
121,Galantis,Love on Me,"528,264",2017-01-11
122,Ed Sheeran,The A Team,"527,093",2017-01-11
123,Little Mix,Touch,"526,319",2017-01-11
124,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,"525,797",2017-01-11
125,MØ,Final Song,"523,130",2017-01-11
126,Daddy Yankee,Shaky Shaky,"520,486",2017-01-11
127,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),"518,115",2017-01-11
128,Rae Sremmurd,Swang,"517,439",2017-01-11
129,Jonas Blue,Fast Car,"516,825",2017-01-11
130,San Holo,Light,"514,340",2017-01-11
131,JP Cooper,September Song,"510,851",2017-01-11
132,Piso 21,Me Llamas (feat. Maluma) - Remix,"508,905",2017-01-11
133,Young Thug,pick up the phone,"508,497",2017-01-11
134,Major Lazer,Lean On (feat. MØ & DJ Snake),"507,040",2017-01-11
135,James Hersey,Miss You,"502,036",2017-01-11
136,Sia,The Greatest,"496,327",2017-01-11
137,J. Cole,Neighbors,"493,281",2017-01-11
138,G-Eazy,"Me, Myself & I","493,011",2017-01-11
139,Adele,Hello,"490,168",2017-01-11
140,Wisin,Vacaciones,"485,278",2017-01-11
141,MC G15,Deu Onda,"481,383",2017-01-11
142,Enrique Iglesias,DUELE EL CORAZON,"479,302",2017-01-11
143,Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""","477,034",2017-01-11
144,KREAM,Taped up Heart (feat. Clara Mae),"475,202",2017-01-11
145,James Bay,Let It Go,"464,126",2017-01-11
146,Flo Rida,Cake - Challenge Version,"463,970",2017-01-11
147,Cheat Codes,Sex,"463,149",2017-01-11
148,Bruno Mars,That's What I Like,"460,994",2017-01-11
149,The Chainsmokers,Roses,"460,764",2017-01-11
150,Shawn Mendes,Stitches,"457,911",2017-01-11
151,Young M.A,OOOUUU,"457,828",2017-01-11
152,MiC LOWRY,Oh Lord,"455,785",2017-01-11
153,The Weeknd,Reminder,"453,992",2017-01-11
154,Zara Larsson,Lush Life,"451,437",2017-01-11
155,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack","449,480",2017-01-11
156,ZAYN,PILLOWTALK,"445,700",2017-01-11
157,Chino & Nacho,Andas En Mi Cabeza,"444,180",2017-01-11
158,Lady Gaga,Million Reasons,"434,805",2017-01-11
159,Zara Larsson,Ain't My Fault,"433,329",2017-01-11
160,Maluma,Borro Cassette,"430,560",2017-01-11
161,Drake,Jumpman,"428,602",2017-01-11
162,A R I Z O N A,Oceans Away,"426,201",2017-01-11
163,The Weeknd,Rockin’,"424,753",2017-01-11
164,Justin Bieber,What Do You Mean?,"423,716",2017-01-11
165,The Weeknd,Die For You,"422,618",2017-01-11
166,The Weeknd,The Hills,"421,896",2017-01-11
167,Future,Low Life,"421,259",2017-01-11
168,Mura Masa,Love$ick,"421,140",2017-01-11
169,Ed Sheeran,Tenerife Sea,"421,053",2017-01-11
170,Dante Klein,Let Me Hold You (Turn Me On),"420,225",2017-01-11
171,Flume,Never Be Like You,"418,159",2017-01-11
172,Future,Used to This,"416,929",2017-01-11
173,Drake,Hotline Bling,"416,500",2017-01-11
174,Big Sean,Moves,"416,072",2017-01-11
175,Milky Chance,Cocoon,"414,077",2017-01-11
176,Marc E. Bassy,You & Me,"413,797",2017-01-11
177,J. Cole,No Role Modelz,"412,905",2017-01-11
178,J. Cole,Immortal,"412,422",2017-01-11
179,Tove Lo,Cool Girl,"411,671",2017-01-11
180,Maluma,Cuatro Babys,"410,868",2017-01-11
181,Jax Jones,You Don't Know Me - Radio Edit,"407,793",2017-01-11
182,Ed Sheeran,Don't,"405,837",2017-01-11
183,Joel Adams,Please Don't Go,"402,528",2017-01-11
184,Eminem,'Till I Collapse,"399,899",2017-01-11
185,Travis Scott,goosebumps,"396,142",2017-01-11
186,Chris Brown,Party,"392,521",2017-01-11
187,Passenger,Let Her Go,"391,492",2017-01-11
188,Kiiara,Gold,"391,038",2017-01-11
189,Galantis,No Money,"390,122",2017-01-11
190,John Legend,All of Me,"387,056",2017-01-11
191,Charly Black,Gyal You A Party Animal - Remix,"383,025",2017-01-11
192,Flume,Say It (feat. Tove Lo),"381,354",2017-01-11
193,Sam Smith,Stay With Me,"378,699",2017-01-11
194,The Weeknd,Secrets,"374,133",2017-01-11
195,Post Malone,White Iverson,"373,834",2017-01-11
196,Anne-Marie,Alarm,"373,030",2017-01-11
197,The Weeknd,Can't Feel My Face,"372,753",2017-01-11
198,The Weeknd,True Colors,"372,089",2017-01-11
199,Coldplay,Hymn for the Weekend,"370,872",2017-01-11
200,Farruko,Chillax (feat. Ky-Mani Marley),"370,562",2017-01-11
Rank,Artist,Title,Streams,Date
1,Ed Sheeran,Shape of You,"7,193,934",2017-01-12
2,Ed Sheeran,Castle on the Hill,"4,541,568",2017-01-12
3,The Weeknd,Starboy,"3,523,086",2017-01-12
4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","3,247,065",2017-01-12
5,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"3,192,419",2017-01-12
6,The Chainsmokers,Closer,"2,954,519",2017-01-12
