Rank,Artist,Title,Streams,Date
96,Adele,Water Under the Bridge,"565,509",2017-01-02
97,Little Mix,Shout Out to My Ex,"561,342",2017-01-02
98,21 Savage,No Heart,"553,704",2017-01-02
99,DJ Snake,Middle,"552,314",2017-01-02
100,Ozuna,Dile Que Tu Me Quieres,"549,784",2017-01-02
101,G-Eazy,"Me, Myself & I","546,883",2017-01-02
102,FRENSHIP,Capsize,"543,362",2017-01-02
103,Michael Jackson,Billie Jean,"538,134",2017-01-02
104,Major Lazer,Lean On (feat. MØ & DJ Snake),"536,139",2017-01-02
105,IAmChino,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","534,629",2017-01-02
106,Maluma,Borro Cassette,"531,529",2017-01-02
107,Chino & Nacho,Andas En Mi Cabeza,"523,705",2017-01-02
108,Petit Biscuit,Sunset Lover,"520,460",2017-01-02
109,The Weeknd,Sidewalks,"516,467",2017-01-02
110,Cheat Codes,Sex,"515,548",2017-01-02
111,MØ,Final Song,"505,038",2017-01-02
112,Jon Bellion,All Time Low,"501,034",2017-01-02
113,Bruno Mars,Versace on the Floor,"500,917",2017-01-02
114,The Weeknd,Six Feet Under,"489,564",2017-01-02
115,Andy Grammer,Fresh Eyes,"489,550",2017-01-02
116,Wisin,Vacaciones,"487,214",2017-01-02
117,Queen,Bohemian Rhapsody - Remastered 2011,"482,964",2017-01-02
118,Young Thug,pick up the phone,"480,609",2017-01-02
119,Lil Uzi Vert,You Was Right,"476,850",2017-01-02
120,Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),"476,309",2017-01-02
121,The Chainsmokers,Roses,"475,190",2017-01-02
122,Drake,Jumpman,"473,297",2017-01-02
123,Ed Sheeran,Photograph,"472,142",2017-01-02
124,ZAYN,PILLOWTALK,"470,638",2017-01-02
125,Foster The People,Pumped Up Kicks,"467,384",2017-01-02
126,Justin Bieber,What Do You Mean?,"464,343",2017-01-02
127,Zara Larsson,Lush Life,"460,606",2017-01-02
128,Drake,Hotline Bling,"459,418",2017-01-02
129,Childish Gambino,Redbone,"455,949",2017-01-02
130,Galantis,No Money,"453,779",2017-01-02
131,Pharrell Williams,"Happy - From ""Despicable Me 2""","453,426",2017-01-02
132,Adele,Hello,"448,638",2017-01-02
133,Niall Horan,This Town,"445,379",2017-01-02
134,Flume,Never Be Like You,"445,025",2017-01-02
135,Bebe Rexha,I Got You,"443,982",2017-01-02
136,David Guetta,Titanium (feat. Sia),"441,628",2017-01-02
137,Galantis,Love on Me,"441,050",2017-01-02
138,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,"440,038",2017-01-02
139,Piso 21,Me Llamas (feat. Maluma) - Remix,"439,910",2017-01-02
140,Hearts & Colors,Lighthouse - Andrelli Remix,"439,245",2017-01-02
141,Ed Sheeran,Thinking out Loud,"436,476",2017-01-02
142,The Jackson 5,I Want You Back,"436,184",2017-01-02
143,AJR,Weak,"428,247",2017-01-02
144,Shawn Mendes,Stitches,"426,162",2017-01-02
145,J. Cole,Neighbors,"425,033",2017-01-02
146,Calum Scott,Dancing On My Own,"420,756",2017-01-02
147,KYLE,iSpy (feat. Lil Yachty),"418,210",2017-01-02
148,Nause,Dynamite (feat. Pretty Sister),"413,497",2017-01-02
149,Marvin Gaye,Ain't No Mountain High Enough,"413,039",2017-01-02
150,Zara Larsson,Ain't My Fault,"411,636",2017-01-02
151,Kiiara,Gold,"410,605",2017-01-02
152,Future,Low Life,"409,112",2017-01-02
153,Charly Black,Gyal You A Party Animal - Remix,"406,113",2017-01-02
154,G-Eazy,Some Kind Of Drug,"403,095",2017-01-02
155,Nicky Jam,Hasta el Amanecer,"400,584",2017-01-02
156,The Weeknd,Can't Feel My Face,"398,209",2017-01-02
157,Rihanna,Love On The Brain,"397,058",2017-01-02
158,Thalía,Desde Esa Noche,"396,612",2017-01-02
159,The Weeknd,Reminder,"396,409",2017-01-02
160,Maluma,Cuatro Babys,"393,026",2017-01-02
161,Flo Rida,My House,"391,880",2017-01-02
162,J. Cole,No Role Modelz,"389,511",2017-01-02
163,The Weeknd,The Hills,"389,467",2017-01-02
164,Rae Sremmurd,Swang,"387,386",2017-01-02
165,Queen,Don't Stop Me Now - Remastered,"387,160",2017-01-02
166,Dante Klein,Let Me Hold You (Turn Me On),"385,235",2017-01-02
167,Mark Ronson,Uptown Funk,"385,214",2017-01-02
168,Gente De Zona,La Gozadera,"377,647",2017-01-02
169,Flume,Say It (feat. Tove Lo),"373,311",2017-01-02
170,Travis Scott,goosebumps,"371,600",2017-01-02
171,Bruno Mars,That's What I Like,"371,473",2017-01-02
172,San Holo,Light,"371,468",2017-01-02
173,J. Cole,Immortal,"367,746",2017-01-02
174,Farruko,Chillax (feat. Ky-Mani Marley),"363,805",2017-01-02
175,State of Sound,Wake Up Where You Are,"362,966",2017-01-02
176,David Guetta,Would I Lie to You - Radio Edit,"359,074",2017-01-02
177,Joel Adams,Please Don't Go,"357,531",2017-01-02
178,The Weeknd,Rockin’,"357,162",2017-01-02
179,Robin Schulz,Sugar (feat. Francesco Yates),"355,613",2017-01-02
180,Coldplay,Hymn for the Weekend,"352,612",2017-01-02
181,Anne-Marie,Alarm,"351,130",2017-01-02
182,Marc E. Bassy,You & Me,"350,746",2017-01-02
183,Sean Paul,No Lie,"350,700",2017-01-02
184,J Balvin,Bobo,"350,414",2017-01-02
185,Kygo,Stay (feat. Maty Noyes),"347,597",2017-01-02
186,Future,Used to This,"344,032",2017-01-02
187,Skrillex,Purple Lamborghini (with Rick Ross),"343,807",2017-01-02
188,Tove Lo,Cool Girl,"343,803",2017-01-02
189,James Hersey,Miss You,"342,000",2017-01-02
190,The Weeknd,Die For You,"341,736",2017-01-02
191,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack","341,046",2017-01-02
192,M.I.A.,Paper Planes,"341,003",2017-01-02
193,James Bay,Let It Go,"340,299",2017-01-02
194,Kanye West,Famous,"336,134",2017-01-02
195,KREAM,Taped up Heart (feat. Clara Mae),"333,469",2017-01-02
196,Post Malone,White Iverson,"332,756",2017-01-02
197,MiC LOWRY,Oh Lord,"331,792",2017-01-02
198,Stevie Wonder,Superstition - Single Version,"331,376",2017-01-02
199,The Weeknd,Secrets,"331,233",2017-01-02
200,JAY Z,Ni**as In Paris,"325,951",2017-01-02
Rank,Artist,Title,Streams,Date
1,The Weeknd,Starboy,"3,342,769",2017-01-03
2,The Chainsmokers,Closer,"3,019,058",2017-01-03
3,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"2,726,981",2017-01-03
4,DJ Snake,Let Me Love You,"2,524,666",2017-01-03
5,Maroon 5,Don't Wanna Know,"2,362,830",2017-01-03
6,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","2,329,762",2017-01-03
7,James Arthur,Say You Won't Let Go,"2,263,324",2017-01-03
8,Drake,Fake Love,"2,241,455",2017-01-03
9,Bruno Mars,24K Magic,"2,152,569",2017-01-03
10,The Weeknd,I Feel It Coming,"2,135,229",2017-01-03
11,Rae Sremmurd,Black Beatles,"2,114,909",2017-01-03
12,Drake,One Dance,"1,989,817",2017-01-03
13,Shakira,Chantaje (feat. Maluma),"1,866,507",2017-01-03
14,Major Lazer,Cold Water (feat. Justin Bieber & MØ),"1,830,616",2017-01-03
15,Starley,Call On Me - Ryan Riback Extended Remix,"1,810,528",2017-01-03
16,Martin Garrix,In the Name of Love,"1,808,723",2017-01-03
17,Migos,Bad and Boujee (feat. Lil Uzi Vert),"1,676,078",2017-01-03
18,Ariana Grande,Side To Side,"1,645,732",2017-01-03
19,Steve Aoki,Just Hold On,"1,638,543",2017-01-03
20,Hailee Steinfeld,Starving,"1,547,351",2017-01-03
21,Shawn Mendes,Mercy,"1,530,922",2017-01-03
22,Machine Gun Kelly,Bad Things (with Camila Cabello),"1,478,772",2017-01-03
23,The Chainsmokers,All We Know,"1,438,481",2017-01-03
24,Calvin Harris,My Way,"1,427,123",2017-01-03
25,Shawn Mendes,Treat You Better,"1,404,053",2017-01-03
26,Twenty One Pilots,Heathens,"1,403,117",2017-01-03
27,The Chainsmokers,Don't Let Me Down,"1,373,805",2017-01-03
28,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","1,274,760",2017-01-03
29,Alessia Cara,Scars To Your Beautiful,"1,264,378",2017-01-03
30,The Vamps,All Night,"1,201,859",2017-01-03
31,John Legend,Love Me Now,"1,190,899",2017-01-03
32,Sage The Gemini,Now and Later,"1,172,766",2017-01-03
