95,96,Adele,Water Under the Bridge,"565,509"
96,97,Little Mix,Shout Out to My Ex,"561,342"
97,98,21 Savage,No Heart,"553,704"
98,99,DJ Snake,Middle,"552,314"
99,100,Ozuna,Dile Que Tu Me Quieres,"549,784"
100,101,G-Eazy,"Me, Myself & I","546,883"
101,102,FRENSHIP,Capsize,"543,362"
102,103,Michael Jackson,Billie Jean,"538,134"
103,104,Major Lazer,Lean On (feat. MØ & DJ Snake),"536,139"
104,105,IAmChino,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","534,629"
105,106,Maluma,Borro Cassette,"531,529"
106,107,Chino & Nacho,Andas En Mi Cabeza,"523,705"
107,108,Petit Biscuit,Sunset Lover,"520,460"
108,109,The Weeknd,Sidewalks,"516,467"
109,110,Cheat Codes,Sex,"515,548"
110,111,MØ,Final Song,"505,038"
111,112,Jon Bellion,All Time Low,"501,034"
112,113,Bruno Mars,Versace on the Floor,"500,917"
113,114,The Weeknd,Six Feet Under,"489,564"
114,115,Andy Grammer,Fresh Eyes,"489,550"
115,116,Wisin,Vacaciones,"487,214"
116,117,Queen,Bohemian Rhapsody - Remastered 2011,"482,964"
117,118,Young Thug,pick up the phone,"480,609"
118,119,Lil Uzi Vert,You Was Right,"476,850"
119,120,Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),"476,309"
120,121,The Chainsmokers,Roses,"475,190"
121,122,Drake,Jumpman,"473,297"
122,123,Ed Sheeran,Photograph,"472,142"
123,124,ZAYN,PILLOWTALK,"470,638"
124,125,Foster The People,Pumped Up Kicks,"467,384"
125,126,Justin Bieber,What Do You Mean?,"464,343"
126,127,Zara Larsson,Lush Life,"460,606"
127,128,Drake,Hotline Bling,"459,418"
128,129,Childish Gambino,Redbone,"455,949"
129,130,Galantis,No Money,"453,779"
130,131,Pharrell Williams,"Happy - From ""Despicable Me 2""","453,426"
131,132,Adele,Hello,"448,638"
132,133,Niall Horan,This Town,"445,379"
133,134,Flume,Never Be Like You,"445,025"
134,135,Bebe Rexha,I Got You,"443,982"
135,136,David Guetta,Titanium (feat. Sia),"441,628"
136,137,Galantis,Love on Me,"441,050"
137,138,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,"440,038"
138,139,Piso 21,Me Llamas (feat. Maluma) - Remix,"439,910"
139,140,Hearts & Colors,Lighthouse - Andrelli Remix,"439,245"
140,141,Ed Sheeran,Thinking out Loud,"436,476"
141,142,The Jackson 5,I Want You Back,"436,184"
142,143,AJR,Weak,"428,247"
143,144,Shawn Mendes,Stitches,"426,162"
144,145,J. Cole,Neighbors,"425,033"
145,146,Calum Scott,Dancing On My Own,"420,756"
146,147,KYLE,iSpy (feat. Lil Yachty),"418,210"
147,148,Nause,Dynamite (feat. Pretty Sister),"413,497"
148,149,Marvin Gaye,Ain't No Mountain High Enough,"413,039"
149,150,Zara Larsson,Ain't My Fault,"411,636"
150,151,Kiiara,Gold,"410,605"
151,152,Future,Low Life,"409,112"
152,153,Charly Black,Gyal You A Party Animal - Remix,"406,113"
153,154,G-Eazy,Some Kind Of Drug,"403,095"
154,155,Nicky Jam,Hasta el Amanecer,"400,584"
155,156,The Weeknd,Can't Feel My Face,"398,209"
156,157,Rihanna,Love On The Brain,"397,058"
157,158,Thalía,Desde Esa Noche,"396,612"
158,159,The Weeknd,Reminder,"396,409"
159,160,Maluma,Cuatro Babys,"393,026"
160,161,Flo Rida,My House,"391,880"
161,162,J. Cole,No Role Modelz,"389,511"
162,163,The Weeknd,The Hills,"389,467"
163,164,Rae Sremmurd,Swang,"387,386"
164,165,Queen,Don't Stop Me Now - Remastered,"387,160"
165,166,Dante Klein,Let Me Hold You (Turn Me On),"385,235"
166,167,Mark Ronson,Uptown Funk,"385,214"
167,168,Gente De Zona,La Gozadera,"377,647"
168,169,Flume,Say It (feat. Tove Lo),"373,311"
169,170,Travis Scott,goosebumps,"371,600"
170,171,Bruno Mars,That's What I Like,"371,473"
171,172,San Holo,Light,"371,468"
172,173,J. Cole,Immortal,"367,746"
173,174,Farruko,Chillax (feat. Ky-Mani Marley),"363,805"
174,175,State of Sound,Wake Up Where You Are,"362,966"
